samples	chr10:5799876	chr10:5801465	chr10:5801555	chr10:5801595	chr10:5801775	chr10:5801855	enhancer_sum	ENSG00000196372.11
TCGA-A2-A259_tumor	0.11830383	0.467300129	0.366741874	0.600391938	0.798550854	0.946430642	3.297719267	4.741957787
TCGA-A2-A25A_tumor	0.461767867	0.2426966	0.180411632	0.347936719	0.841920948	0.309277083	2.384010849	4.352523858
TCGA-A2-A25B_tumor	0.130222643	0.354856701	0.189415345	0.263700851	0.351601135	0.136733775	1.42653045	4.839093322
TCGA-A2-A25C_tumor	0.242579519	0.513569251	0.364961979	0.600985294	0.491715241	0.456748824	2.670560108	4.390108376
TCGA-A2-A25D_tumor	0.123503621	0	0.216131337	0.123503621	0.191430612	0.348897729	1.00346692	4.855216949
TCGA-A2-A25E_tumor	0.323158132	0.818876431	0.219622031	0.348257792	0.436106605	0.42983169	2.575852681	4.597235774
TCGA-A2-A25F_tumor	0.383431202	0.462513887	0.503253452	0.776448183	0.333105856	0.297159181	2.755911761	3.402411294
TCGA-A2-A3KC_tumor	0.426749729	0.485108667	0.189666546	0.404865128	0.34650619	0.269910085	2.122806345	4.934988736
TCGA-A2-A3KD_tumor	0.121660669	0.273736504	0.121660669	0.121660669	0.152075836	0.246362854	1.037157201	5.113056253
TCGA-A2-A3XS_tumor	0.848932306	1.245537746	1.04231843	0.884987346	1.642143187	0.832543651	6.496462666	5.077011228
TCGA-A2-A3XT_tumor	1.345278037	0.508943682	0.491086009	0.916693884	1.717312893	1.616119412	6.595433917	4.642665037
TCGA-A2-A3XU_tumor	0	0	0	0	0	0	0	3.846447029
TCGA-A2-A3XV_tumor	0	0	0	0	0	0	0	4.237139016
TCGA-A2-A3XW_tumor	0	0	0	0	0	0	0	4.429420208
TCGA-A2-A3XX_tumor	0.176599127	0.121792502	0.188778377	0.170509502	0.121792502	0.523707757	1.303179767	4.534238339
TCGA-A2-A3XY_tumor	0.33249081	0.416229236	0.825069787	0.933437162	0.896493739	0.729016887	4.132737621	4.764658693
TCGA-A2-A3XZ_tumor	0.206405395	0.262102089	0.158641221	0.258825813	0.298141126	0.131051044	1.315166688	3.523223054
TCGA-A2-A3Y0_tumor	0.118251459	0.227166965	0.144118965	0.118251459	0.128386791	0.189202334	0.925377973	4.597085273
TCGA-A2-A4RW_tumor	0.247189651	0.568536198	0.576775029	0.480645446	0.531457751	0	2.404604075	4.548146308
TCGA-A2-A4RX_tumor	0	0.455105286	0	0.405984511	0.232844023	0.785848579	1.879782399	3.158787133
TCGA-A2-A4RY_tumor	0.795352805	0.562005959	0.739481525	1.143731425	0.566935836	1.069783272	4.877290822	4.658947272
TCGA-A2-A4S0_tumor	0.215674617	0.469092293	0.458308562	0.630848256	0.317520485	0.485267889	2.576712102	6.107635994
TCGA-A2-A4S1_tumor	0	0.255795851	0	0	0.255795851	0	0.511591702	2.294805326
TCGA-A2-A4S2_tumor	0.412728296	0.636926383	0.401638643	1.120990434	0.91207858	0.311386685	3.795749021	5.140297272
TCGA-A2-A4S3_tumor	0.484282657	0.21826824	0.582049367	0.634961953	0.436536479	0	2.356098696	3.647967962
TCGA-A7-A0CD_tumor	0.140570801	0.806171035	0.650137931	0.67903295	1.095121226	0.927530115	4.298564058	6.004832768
TCGA-A7-A0CE_tumor	0	0.293444685	0.152965958	0.386784246	0.242559612	0.19011429	1.265868791	3.433326283
TCGA-A7-A0CG_tumor	0.143438886	0.530723878	0.346231348	0.365769159	0.308611632	0.559411655	2.254186558	4.173081066
TCGA-A7-A0CH_tumor	0.305760847	0.167213094	0.167213094	0.167213094	0.55180321	0.334426188	1.693629527	4.531168598
TCGA-A7-A0CJ_tumor	0.158913636	0	0.250288977	0.615790341	0.421121136	0.377419886	1.823533976	4.481455348
TCGA-A7-A0D9_tumor	1.085377458	0.7548819	0.555833439	0.612167909	0.555833439	0.721081218	4.285175363	3.720510722
TCGA-A7-A0DA_tumor	0.551530798	0.867146688	0.67586433	1.17319846	0.516462365	1.198702774	4.982905415	4.532943067
TCGA-A7-A0DB_tumor	0.330568528	0.179600224	0.255084376	0.191348681	0.24004585	0.861560493	2.058208152	4.748519255
TCGA-A7-A0DC_tumor	0.914152104	9.033568409	6.438111429	4.892321564	7.147842586	6.711438315	35.13743441	6.71876748
TCGA-A7-A13D_tumor	1.104170386	2.632216606	1.483565423	1.747833691	1.692886823	1.713818963	10.37449189	3.854699036
TCGA-A7-A13E_tumor	3.270339376	3.824988934	3.395920408	4.732835145	1.959587354	0.62790516	17.81157638	5.488271566
TCGA-A7-A13F_tumor	0.159929575	0.407820417	0.159929575	0.463795769	0.159929575	0.319859151	1.671264062	5.120717255
TCGA-A7-A13H_tumor	0.353128513	0.416920008	0.314398695	0.529693453	0.136695085	0.406667877	2.157503631	5.503618227
TCGA-A7-A26E_tumor	0.263563726	0.200588323	0.314877018	0.517797763	0.307879751	0.466484472	2.071191053	4.664783096
TCGA-A7-A26F_tumor	0.216805837	0.416060725	0.192028027	0.375796784	0.196157662	0.277717953	1.674566988	3.745637619
TCGA-A7-A26G_tumor	0.451943025	0.77342827	0.500864693	0.577741599	0.738484221	0.368077309	3.410539117	4.12169044
TCGA-A7-A26H_tumor	0.321819872	0.781562546	0.8252381	1.107979845	1.296474341	0.928680202	5.261754906	5.678969579
TCGA-A7-A26I_tumor	0.49792094	1.212167081	0.998639188	1.031274455	0.530556207	0.495123631	4.765681502	4.394365117
TCGA-A7-A26J_tumor	0	1.203400357	0	0.61311186	0	0.61605745	2.432569667	4.916487391
TCGA-A7-A2KD_tumor	0	0.164172278	0.103863776	0.124636531	0.397278944	0.142812692	0.932764221	3.669758717
TCGA-A7-A3IY_tumor	0.112898681	0.194750225	0.112898681	0.112898681	0.112898681	0	0.646344949	3.182353293
TCGA-A7-A3IZ_tumor	0.340271685	0.16922137	0.324905031	0.61258136	0.626119069	0.649810061	2.722908576	4.810756217
TCGA-A7-A3J0_tumor	0.103946417	0.407989688	0.452166915	0.200096853	0.382073767	0.402792367	1.949066007	6.036912705
TCGA-A7-A3J1_tumor	0.520253631	0.650317039	0.658446002	0.520253631	0.848121805	0.951088669	4.148480777	4.811443791
TCGA-A7-A3RF_tumor	0.129299962	0	0.202238071	0.297389913	0.294157414	0.129299962	1.052385322	5.26425024
TCGA-A7-A425_tumor	0.291632195	0.346313231	0.411930475	0.765534511	0.342667829	0.145816097	2.303894338	4.941220349
TCGA-A7-A426_tumor	0.111658448	0.332183884	0.357307035	0.240065664	0.145155983	0.340558268	1.526929282	4.579351794
TCGA-A7-A4SA_tumor	0.223876916	0.375322934	0.408575372	0.343277192	0.330218452	0	1.681270866	5.434122191
TCGA-A7-A4SB_tumor	0	0.792876997	0.241353976	0.426507943	0.410299985	0.288318908	2.159357809	4.428501153
TCGA-A7-A4SC_tumor	0.466697292	0.816720262	0.783384741	1.466762919	0.411138091	0.833388022	4.778091327	3.941612332
TCGA-A7-A4SD_tumor	1.115851857	0.573866669	0.303633766	0.710501591	1.124960852	0.560922788	4.389737523	3.353604537
TCGA-A7-A4SE_tumor	0	0.592819216	0.97640812	0.56375945	0.232478124	0.536487442	2.901952352	3.930925581
TCGA-A7-A4SF_tumor	0.244921852	0.679658138	0.483720657	0.508212842	1.175624887	1.097249895	4.189388271	3.403762295
TCGA-A7-A56D_tumor	0	0	0	0	0	0	0	4.263915069
TCGA-A7-A5ZV_tumor	0.436110252	0.64507902	0.41628686	1.05756736	0.218055126	0.305277176	3.078375794	3.978983705
TCGA-A7-A5ZW_tumor	0.174997514	0.349995027	0	0	0	0.367494779	0.89248732	4.633279873
TCGA-A7-A5ZX_tumor	0.162253557	0.162253557	0.162253557	0.304225418	0.219042301	0.261017296	1.271045686	5.050589339
TCGA-A7-A6VV_tumor	0.217918898	0.350099213	0.682336221	0.521576379	0.507286615	0.346526772	2.625744098	4.684207235
TCGA-A7-A6VW_tumor	0.160968347	0	0	0.321936694	0.285718816	0.160968347	0.929592204	3.021514873
TCGA-A7-A6VX_tumor	0.601398309	0.477823314	0.65906664	0.650828307	0.313056654	1.033910791	3.736084015	4.318786783
TCGA-A7-A6VY_tumor	0.129251918	0.171258791	0.151871004	0.455613011	0.6301031	0.529932864	2.068030688	5.187678799
TCGA-A8-A06N_tumor	0.328615494	0.136364253	0.232489873	0.274963985	0.277199464	0.59687304	1.846506109	3.846898061
TCGA-A8-A06O_tumor	0.120419172	0.376309912	0.198691634	0.246859302	0.854976121	0.355236557	2.152492698	6.257878769
TCGA-A8-A06P_tumor	0.318118924	0.34618824	0.221435721	0.124752519	0.34618824	0.729802237	2.086485881	5.370657866
TCGA-A8-A06Q_tumor	0.099195256	0.466217702	0.260387546	0.473657346	0.545573906	0.674527739	2.519559495	4.80552957
TCGA-A8-A06R_tumor	0	0.671612899	0	1.746193537	0.537290319	0.930183865	3.88528062	4.690226804
TCGA-A8-A06T_tumor	0.19436793	0.569606017	0.3848593	0.604700227	0.188968821	0.107982183	2.050484478	2.958385514
TCGA-A8-A06U_tumor	1.336725283	1.609155708	1.3476225	2.77152552	3.109339246	3.294591935	13.46896019	5.656163079
TCGA-A8-A06X_tumor	0.692803791	0	0.322153456	0.204541877	0.204541877	0.368175378	1.792216379	6.088839556
TCGA-A8-A06Y_tumor	0.71656002	0.534313541	0.410054578	0.600584988	0.165678617	1.598798658	4.025990402	3.719756109
TCGA-A8-A06Z_tumor	0.218393406	0.091420453	0.126012124	0.22398011	0.390822436	0.550808229	1.601436758	4.423496357
TCGA-A8-A075_tumor	0.179598594	0.190270199	0.139043714	0.139043714	0.524890021	0.139043714	1.311889956	3.886885842
TCGA-A8-A076_tumor	0.185186255	0.227921545	0.199431352	0.329886806	0.145299985	0.558407785	1.646133728	3.556256214
TCGA-A8-A079_tumor	0.365716503	0.264299322	0.279665561	0.319617784	0.245859834	0.316544536	1.79170354	2.558754374
TCGA-A8-A07B_tumor	0	0	2.644241307	2.445923209	3.496274617	3.599106223	12.18554536	5.717398441
TCGA-A8-A07C_tumor	0.178258883	0.366421037	0.133694162	0.544679921	0.604099548	0.341662859	2.16881641	5.363003401
TCGA-A8-A07E_tumor	0.440007741	0.345322531	0.286442811	0.696214779	0.735202807	0.420513727	2.923704396	4.029550833
TCGA-A8-A07F_tumor	0.308143773	0.294008737	0.245949617	0.381645957	0.305316766	0.401435007	1.936499857	4.397882301
TCGA-A8-A07G_tumor	0.169093668	0.28081627	0.120781191	0.120781191	0.120781191	0	0.812253511	4.430933798
TCGA-A8-A07I_tumor	0.517135663	0.339105353	0.169552676	0.169552676	0.169552676	0.254329015	1.619228059	3.921802647
TCGA-A8-A07J_tumor	0	0.387049144	0.387049144	0.832155659	0.938594173	0.498325772	3.043173892	2.558281674
TCGA-A8-A07L_tumor	0	0.306660152	0.272679355	0.349449941	0.142632629	0.281699442	1.353121519	4.951892109
TCGA-A8-A07O_tumor	0.672067482	0.919810004	0.305724815	0.593000719	0.722143098	1.133290263	4.346036381	3.745865593
TCGA-A8-A07P_tumor	0	0.131348094	0	0	0.316208716	0.47285314	0.92040995	5.40947979
TCGA-A8-A07R_tumor	0.759294516	0.669304055	0.815538554	0.961773053	0.649618641	0.773355525	4.628884344	5.142821084
TCGA-A8-A07S_tumor	0	0.133169833	0.181595711	0.139828324	0.496057627	0.203083995	1.15373549	5.061813259
TCGA-A8-A07U_tumor	0.620488587	0.546958341	0.556762732	0.328691251	0.882099991	0.536638778	3.47163968	4.179113709
TCGA-A8-A07W_tumor	0.781179992	1.213734203	0.878020487	0.932896768	0.758583877	1.052333378	5.616748705	5.215386754
TCGA-A8-A07Z_tumor	0	0.207951047	0	0	0.207951047	0.207951047	0.623853141	5.040803525
TCGA-A8-A081_tumor	0.102543736	0.102543736	0.102543736	0.26405012	0.102543736	0.328139955	1.002365019	6.318930717
TCGA-A8-A082_tumor	0.206720164	0.469095757	0.413440328	0	0.477046532	0.222621715	1.788924496	3.218961731
TCGA-A8-A083_tumor	0	0.500615253	0.320005715	0.113133391	0.226266781	0.251721794	1.411742934	5.856280652
TCGA-A8-A084_tumor	0.188092092	0.383119879	0.48724971	0.810813971	1.164831339	0.488853067	3.522960058	4.71232589
TCGA-A8-A085_tumor	0.393459367	0.134035608	0.441020389	0.512361923	0.523171246	0.492905141	2.496953674	3.775504435
TCGA-A8-A086_tumor	0.115268339	0.363095269	0.239882636	0.221436243	0.184429343	0.121672648	1.245784478	5.752375003
TCGA-A8-A08A_tumor	0.146191662	0.317966865	0.277764158	0.146191662	0.378379107	0.296038115	1.562531569	4.993224432
TCGA-A8-A08B_tumor	0	0	0	0	1.261835863	1.261835863	2.523671726	4.744458805
TCGA-A8-A08C_tumor	0	0.285897011	0.256986078	0.385479116	0.330869575	0.128493039	1.387724819	4.880393119
TCGA-A8-A08F_tumor	0.652966872	0.803321086	0.206200065	0.171833387	0.730291896	2.143621507	4.708234813	4.562116812
TCGA-A8-A08G_tumor	0.364522023	0.228506343	0.108812544	0.130575053	0.282912615	0.682798714	1.798127292	4.790707878
TCGA-A8-A08H_tumor	0.537836831	0.285725817	0.974829256	0.420185024	0.214294362	0.214294362	2.647165652	5.215462265
TCGA-A8-A08I_tumor	0.308495187	0.599305937	0.239722375	0.318319875	0.548217562	0.734886624	2.74894756	4.332567049
TCGA-A8-A08J_tumor	0.26547562	0	0.124929704	0.220464697	0.124929704	0.399775052	1.135574777	4.889158091
TCGA-A8-A08L_tumor	0	0.411911976	0.188661974	0.339591553	0.779802825	0.481088033	2.201056361	3.134894198
TCGA-A8-A08O_tumor	0.290191124	0.173248432	0.476433189	0.411465027	0.441783503	0.272247784	2.065369059	4.60758406
TCGA-A8-A08P_tumor	0.834733292	1.168626609	0	0	0.333893317	0.166946658	2.504199876	5.746296445
TCGA-A8-A08R_tumor	0.16651843	0.323786206	0.552286127	0.58836512	1.057392031	0.663298413	3.351646327	4.664833705
TCGA-A8-A08S_tumor	0.982727007	0.994391422	1.163525447	1.24809246	1.312246745	1.85755817	7.558541251	4.517625021
TCGA-A8-A08T_tumor	0.511674879	1.33919845	1.68663201	1.812971486	2.302536957	3.085841711	10.73885549	4.618526206
TCGA-A8-A08X_tumor	0	0.329493831	0.181558482	0.47870856	0.465999483	0.498395767	1.954156123	5.886154298
TCGA-A8-A08Z_tumor	0.26489234	0	0	0	0.52978468	0.469581274	1.264258294	3.126081816
TCGA-A8-A090_tumor	0.569188139	0.969582554	0.259078739	0.777236218	0.702652944	0.545635527	3.823374121	4.131859672
TCGA-A8-A091_tumor	0.104346319	0.204252369	0.23977452	0.594996032	0.464008099	0.559473881	2.16685122	6.103711986
TCGA-A8-A092_tumor	0.200711873	0.287599441	0.221839683	0.418326459	0.572293837	0.819222649	2.519993942	5.955924079
TCGA-A8-A093_tumor	0.175268142	0.271312625	0.390509721	0.89478999	0.316712608	0.69492281	2.743515896	5.838936552
TCGA-A8-A094_tumor	0	0.247917972	0.405683053	0.495835945	0.247917972	0	1.397354942	5.36016557
TCGA-A8-A095_tumor	0	1.014602351	0.567900292	0.262818715	0.394759959	1.121949357	3.362030674	2.736734946
TCGA-A8-A096_tumor	0.157920809	0.544629804	0.176621957	0.128973093	0.32830905	0.234803308	1.571258021	4.818215898
TCGA-A8-A097_tumor	0.203473405	0.42729415	0.277232514	0.518857183	0.272145679	0.11445379	1.813456721	4.834823268
